solver_group,rows,mean_avg_poisson_rel_residual,median_avg_poisson_rel_residual,min_avg_poisson_rel_residual,max_avg_poisson_rel_residual
python_looped,20,7.8182624795365e-05,7.958419984844999e-05,4.8050560011e-05,9.82123100574e-05
python_mpi,36,7.922339176739723e-05,8.37493548108e-05,4.80505600102e-05,9.82123100574e-05
octave_looped,34,0.00010487674699855294,9.28479012155e-05,4.80505600102e-05,0.000399920557594
octave_vectorized,36,0.00011612068133682777,9.296887496755e-05,4.80505600102e-05,0.000399920557594
c_openmp_t4,36,0.00011612068133686943,9.29688749677e-05,4.80505600101e-05,0.000399920557594
python_vectorized,36,0.00011612068133686667,9.29688749677e-05,4.80505600102e-05,0.000399920557594
cpp_openmp_t4,36,0.00011612068133685833,9.29688749677e-05,4.805056001e-05,0.000399920557594
cpp_mpi,36,0.00011612068133686943,9.296887496775e-05,4.80505600103e-05,0.000399920557594
cpp_serial,36,0.00011612068133686946,9.296887496775e-05,4.80505600103e-05,0.000399920557594
c_mpi,36,0.00011612068133686943,9.296887496775e-05,4.80505600103e-05,0.000399920557594
c_serial,36,0.00011612068133686946,9.296887496775e-05,4.80505600103e-05,0.000399920557594
