solver_group,rows,total_runtime_s,mean_runtime_s,median_runtime_s,min_runtime_s,max_runtime_s
c_openmp_t4,36,44513.72836018257,1236.492454449516,236.76174733695,8.07588074543,8905.35303271
cpp_openmp_t4,36,57472.587306533,1596.4607585148055,284.4038985195,11.384708574,10250.3737992
c_serial,36,101324.59835,2814.5721763888887,486.3877545,9.201377,17915.735894
c_mpi,36,101242.179288,2812.282758,487.401756,9.155061,17819.51604
cpp_mpi,36,130455.493264795,3623.7637017998613,630.379019603,14.451902678,22047.9874907
cpp_serial,36,130886.634292319,3635.7398414533054,631.7982171364999,14.44299505,22090.1456672
python_mpi,36,318010.24752252566,8833.617986736825,1581.0150309750002,98.2363850717,82323.1887241
python_vectorized,36,326645.4049891738,9073.483471921494,1941.3055882545,98.4688467178,52652.3360563
octave_vectorized,36,337670.744981766,9379.742916160167,2714.37220049,193.322314978,54566.302834
python_looped,20,280236.27566803,14011.813783401501,4820.139562615001,1201.83233233,79859.7112572
octave_looped,34,546710.350709896,16079.71619734988,6611.033662915,876.303304911,62662.0844119
