case_id,solver_group,language,parallel_model,kernel_style,N,Re,scheme,pressure,steps,poisson_iters,total_cores,mpi_ranks,threads_per_rank,runs,runtime_min_s,runtime_mean_s,runtime_median_s,baseline_cores,baseline_runtime_s,speedup_vs_baseline,parallel_efficiency
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBGS,1000,200,1,1,1,3,209.1282659,212.8734923,211.8067324,1,211.8067324,1,1
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBSOR,1000,200,1,1,1,3,110.4142778,111.831147,112.2039084,1,112.2039084,1,1
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBGS,1000,200,2,2,1,3,113.5112844,117.2492096,117.8463368,1,211.8067324,1.79731,0.898656
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBSOR,1000,200,2,2,1,3,58.73419714,59.00180745,58.99858427,1,112.2039084,1.90181,0.950903
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBGS,1000,200,4,4,1,3,66.63866472,68.13886897,68.37521029,1,211.8067324,3.09771,0.774428
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBSOR,1000,200,4,4,1,3,34.34890914,34.63131293,34.45544577,1,112.2039084,3.25649,0.814123
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBGS,1000,200,8,8,1,3,41.03726006,41.42825683,41.61192465,1,211.8067324,5.09005,0.636256
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBSOR,1000,200,8,8,1,3,20.38469315,20.56523728,20.54971218,1,112.2039084,5.46012,0.682515
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBGS,1000,200,16,16,1,3,27.73742437,27.83504073,27.84794188,1,211.8067324,7.60583,0.475364
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_looped,python,mpi_domain,looped,32,100,central,RBSOR,1000,200,16,16,1,3,13.64907122,13.68240611,13.66002655,1,112.2039084,8.21403,0.513377
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBGS,1000,200,1,1,1,3,21.1466229,21.3455623,21.41371584,1,21.41371584,1,1
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBSOR,1000,200,1,1,1,3,10.31597543,10.34123985,10.33861852,1,10.33861852,1,1
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBGS,1000,200,2,2,1,3,18.29187107,18.50449514,18.6048739,1,21.41371584,1.15097,0.575487
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBSOR,1000,200,2,2,1,3,9.079656839,9.113402843,9.11719203,1,10.33861852,1.13397,0.566985
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBGS,1000,200,4,4,1,3,17.22540879,17.28942545,17.31544018,1,21.41371584,1.23668,0.309171
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBSOR,1000,200,4,4,1,3,8.374669552,8.394212802,8.396911144,1,10.33861852,1.23124,0.30781
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBGS,1000,200,8,8,1,3,15.90243816,15.95340673,15.97475386,1,21.41371584,1.34047,0.167559
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBSOR,1000,200,8,8,1,3,7.811175823,7.830207189,7.837863922,1,10.33861852,1.31906,0.164883
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBGS,1000,200,16,16,1,3,15.70784712,15.7258389,15.73407388,1,21.41371584,1.36098,0.0850611
case1_N32_Re100_central_steps1000_p200,python_mpi_domain_vectorized,python,mpi_domain,vectorized,32,100,central,RBSOR,1000,200,16,16,1,3,7.689146519,7.71949927,7.734443665,1,10.33861852,1.3367,0.0835437
